Page URL,Hreflang,Issue Type,Discovered
https://www.drantipov.com/ru,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/bone-grafting,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/full-arch-implants,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/jaw-surgery,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/mole-removal,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/single-tooth,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/sleep-apnea,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/expertise/wisdom-teeth,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/for-dentists,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/for-dentists/refer-patients,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/for-patients/consultation,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/insurance,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/our-team,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/surgical-cases,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/surgical-cases/corrective-jaw-surgery,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/surgical-cases/dental-implants,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
https://www.drantipov.com/ru/surgical-cases/facial-cosmetic-surgery,,No self-referencing hreflang,02 Jul 2026 (20:36 UTC)
